date,media_cost_1,media_cost_2,media_cost_3,media_cost_4,holidays,trend,competitor_spend,weekly,yearly,covid_index,promo_events,intercept
2021-02-21,0.0,0.0,0.0,770.7447418635852,0.0,7818.881612138839,-203.29941353073488,6546.215846533361,-2188.3667356089227,5785.536988349555,0.0,1921.4749842330652
2021-02-28,0.0,0.0,0.0,360.8654724220877,0.0,7827.454340736376,-17.51808422928488,6546.215846533361,-3818.9762378770797,5536.696687775397,0.0,1921.4749842330652
2021-03-07,1059.346533579911,0.0,0.0,785.4241070941758,0.0,7836.0270693338425,-71.89429562174297,6546.215846533361,-4095.6311902774382,5474.486612631831,0.0,1921.4749842330652
2021-03-14,487.26953555938775,0.0,0.0,563.1985138508638,0.0,7844.599797931399,-370.38374414697904,6546.215846533359,-2882.875096338187,5474.486612631831,0.0,1921.4749842330652
2021-03-21,202.3415134074855,0.0,0.0,187.61379260513104,0.0,7853.172526528923,-408.4061711240552,6546.215846533361,-1089.4136012328386,5287.856387201229,0.0,1921.4749842330652
2021-03-28,64.12544493247978,0.0,0.0,85.59924804241304,0.0,7861.745255992333,-125.78822382768826,6546.215846533361,-69.19304699179717,5287.856387201229,0.0,1921.4749842330652
2021-04-04,27.85789181342171,0.0,0.0,44.090663121661144,0.0,7870.317985455856,-273.8199328030189,6546.215846533359,-614.0089154881339,5287.856387201229,0.0,1921.4749842330652
2021-04-11,14.19291541815771,0.0,0.0,22.57561624967461,0.0,7878.890714919323,-748.2745427426056,6546.215846533361,-2249.2396306067726,5287.856387201229,0.0,1921.4749842330652
2021-04-18,8.011164815865207,0.0,0.0,12.441418578997702,0.0,7887.463444382771,-1002.6034146442414,6546.215846533361,-3524.0824047879496,5287.856387201229,0.0,1921.4749842330652
2021-04-25,4.8648012864419075,0.0,0.0,7.892719596300643,0.0,7896.036173846279,-490.05817606483953,6546.215846533359,-3252.9309038314077,5287.856387201229,0.0,1921.4749842330652
2021-05-02,1.0905595148717497,0.0,0.0,2.238764497544758,0.0,7904.608903309754,-445.2886560239249,6546.215846533359,-1671.9425850278042,5287.856387201229,0.0,1921.4749842330652
2021-05-09,0.2106695065006518,0.0,0.0,0.0,0.0,7913.181632880553,-444.43126369234494,6546.215846533361,-318.87409588570847,5287.856387201229,0.0,1921.4749842330652
2021-05-16,0.0,0.0,0.0,0.0,0.0,7921.754362451346,-537.2293689436354,6546.215846533361,-589.9329092570954,5287.856387201229,0.0,1921.4749842330652
2021-05-23,0.0,0.0,0.0,0.0,0.0,7930.3270920220575,-400.46067741494693,6546.215846533361,-2342.78357178611,5287.856387201229,0.0,1921.4749842330652
2021-05-30,0.0,0.0,0.0,0.0,-1109.6738882409365,7938.899821592851,-80.29284323333577,6546.215846533361,-3999.567203654701,4914.595936339968,0.0,1921.4749842330652
2021-06-06,0.0,0.0,0.0,0.0,0.0,7947.472551163684,-28.60572597173561,6546.215846533359,-4086.0489477945052,4727.965710909306,0.0,1921.4749842330652
2021-06-13,0.0,0.0,0.0,0.0,0.0,7956.0452801822685,-144.2562597879833,6546.215846533362,-2615.077725363573,4727.965710909306,0.0,1921.4749842330652
